,almost_labels,labels,filtered_text,original_text,follower_num,is_appropriate,over_500_followers,tweet_id
2,,,"""If you are a writer you locate yourself behind a wall of silence and no matter what you are doing, driving a car or walking or doing housework you can still be writing, because you have that space."" - Joyce Carol Oates","""If you are a #writer you locate yourself behind a wall of silence and no matter what you are doing, driving a car or walking or doing housework you can still be writing, because you have that space."" - Joyce Carol Oates  #inspiration #amwriting https://t.co/pINDXLnlaK",35710,True,True,1159477115345154048
30,,,It is possible to flourish even in harsh conditions if you keep up all the necessities of living! ~Cam Richmond~,"It is possible to flourish even in harsh conditions if you keep up all the necessities of living!

~Cam Richmond~ #Inspiration https://t.co/018p4tsSQE",32203,True,True,1159697119835504640
44,,,"""A good artist should be isolated. If he isn't isolated, something is wrong."" - Orson Welles","""A good artist should be isolated. If he isn't isolated, something is wrong."" - Orson Welles #inspiration",3232,True,True,1159694228454293505
80,,,"John Ruskin ""Walk while ye have the light, lest darkness come upon you.""","John Ruskin ""Walk while ye have the light, lest darkness come upon you."" #inspiration #quote #quotes #quoteoftheday #word",2441,True,True,1159693925495595008
88,,,Intro,Intro #ragz2riches #inspiration https://t.co/I3MbMfqgC3,2564,True,True,1158874762942328832
90,,,"""Walk while ye have the light, lest darkness come upon you.""","""Walk while ye have the light, lest darkness come upon you."" #inspiration",3884,True,True,1159693236610506752
93,,,Take risks.,"Take risks
#TheNest #inspiration https://t.co/dOtckaGWvq",6451,True,True,1159693096667557889
100,,,"Sunshine and colorful sky over field with red tulips, art nature photo flowers happiness inspiration, art arte.","Sunshine and colorful sky over field with red tulips

#art #nature #photo #flowers #happiness #inspiration
art arte https://t.co/CL1JuKTqQj",121875,True,True,1158256569877839873
118,,,Treat yourself with care. You're worthy! ~,Treat yourself with care. You're worthy! ~ #Inspiration https://t.co/vAtNuOLsHW,32203,True,True,1159674465766256642
139,,,"The path to success is to take massive, determined action.","The path to success is to take massive, determined action.

#Quote #Quotes #Quoteoftheday #Success #Motivation #inspiration #IQRTG #FridayFeeling https://t.co/sQNX4FOxyU",11728,True,True,1159678280212992003
156,,,"When you look at your mother, you are looking at the purest love you will ever know.","When you look at your mother, you are looking at the purest love you will ever know.#quote #inspiration #motivation https://t.co/QyrKh4elrL",607,True,True,1159689524810780672
188,,,Rock is so much fun. That's what it's all about - filling up the chest cavities and empty kneecaps and elbows.,"Rock is so much fun. That's what it's all about - filling up the chest cavities and empty kneecaps and elbows.
.
#inspiration #motivation https://t.co/BvWkUgTV7U",2196,True,True,1159434517591003141
201,,,"Use your eyes to see the needs, and use your talents to meet them.","Use your eyes to see the needs, and use your talents to meet them.  #Inspiration #fitnessmotivation #fitness #nikonmexico #nikon #lovemyjob https://t.co/0xkwCcWmBr",746,True,True,1158029427051077632
211,,,Someone Once Told Me To Always live For The Little Things In Life.,"Someone Once Told Me To Always live For The Little Things In Life

#bestquotes #goodquotes #happy #Inspiration  #LifeLessons #lifequotes #lovequotes #motivation #quotes #aboutlife #sad #ThursdayThoughts #ThursdayMotivation #thursdaymorning https://t.co/cVmsB3n504",4941,True,True,1159359360855707648
274,,,"""When the whole world is silent, even one voice becomes powerful."" ~Malala Yousafzai","""When the whole world is silent, even one voice becomes powerful."" 
~Malala Yousafzai #Inspiration https://t.co/Hsmd3nZmIq",152806,True,True,1159508406149009409
276,,,"Men may doubt what you say, but they will believe what you do.","Men may doubt what you say, but they will believe what you do.
.
#inspiration #motivation https://t.co/ZSgXierxmE",2196,True,True,1159578898503483394
281,,,"Let whoever think whatever, just keep getting better.","Let whoever think whatever, just keep getting better.
#LifeLessons #positivevibesonly #inspiration #motivational https://t.co/0e4PijLWrN",6354,True,True,1159679934744281088
315,,,Steep it hot!,"Steep it hot!

#Inspirational #amreading #Inspiration #Quote #quotes #inspirationalquotes #QOTD  #amwriting https://t.co/HsF76DZEQ4",3792,True,True,1159676433960263685
361,,,"Psalm 23, ek sal nie vrees nie.","Psalm 23, ek sal nie vrees nie. #mosaiek #inspiration https://t.co/AIR8vJsap6",2170,True,True,1159675792114237441
