,almost_labels,labels,filtered_text,original_text,follower_num,is_appropriate,over_500_followers,tweet_id
14,1,0,"EXITRealty MorrisCode: ""Specialize in what you do best and delegate the rest.""","#EXITRealty #MorrisCode: ""Specialize in what you do best and delegate the rest."" #Quote #Motivation #Inspiration",9174,TRUE,TRUE,1.15853E+18
59,1,1,Surround yourself with people who are doers! - Wayne Dyer.,"Surround yourself with people who are doers! - Wayne Dyer
.
#inspiration  #motivation  #success  #manifestation  #LawOfAttraction  #grace  #gratitude  #love  #mercy  #compassion  #forgiveness  #lovingkindness https://t.co/H8rONbOboO",2233,TRUE,TRUE,1.15852E+18
61,1,1,Cherish your visions and your dreams as they are the children of your soul; the blue-prints of your utimate achievements!,"Cherish your visions and your dreams as they are the children of your soul; the blue-prints of your utimate achievements!
#NapoleonHill #ThinkandGrowRich #Goals #Vision #Wealth ##PositiveMentalAttitude #Inspiration #Motivation #Achievements https://t.co/V6kq9gh45L",9379,TRUE,TRUE,1.15841E+18
63,0,0,Because Mondays and stuff. . Happy August!,"Because Mondays and stuff.
.
Happy August!
.
#inspiration #motivation #seekbeauty #spreadsunshine #seizetheday #liveinthemoment #itsthelittlethings #writerscommunity  #writerslife #writersofig #amwriting https://t.co/0wrpMbCJw7",1551,TRUE,TRUE,1.15852E+18
106,1,1,Man who says it cannot be done should not interrupt the man doing it!,"Man who says it cannot be done should not interrupt the man doing it!
.
#inspiration #motivation https://t.co/0JjPvM9mUx",2054,TRUE,TRUE,1.15849E+18
114,1,1,Your life is worth a lot more than you think because you are capable of accomplishing more than you know!,Your life is worth a lot more than you think because you are capable of accomplishing more than you know! #inspiration #Motivation #quotes,136991,TRUE,TRUE,1.15819E+18
134,1,0,Time for get some exercise after a seriously long & productive day!,Time for get some exercise after a seriously long &amp; productive day! #growth #love #motivation #success #inspiration #life #goals #mindset #healing #leadership #growthmindset #happiness #selfcare #change #mindfulness #family #fitness #gratitude #strength  #mentalhealth #inspire,980,TRUE,TRUE,1.15851E+18
203,1,0,You need a little bit of insanity to do great things.,"You need a little bit of insanity to do great things.
.
#inspiration #motivation https://t.co/ibwiFgUsCO",2054,TRUE,TRUE,1.15837E+18
211,1,1,"What doesn't break you, only makes you stronger. - use it!","What doesn't break you, only makes you stronger - use it! #resilience #motivation #mindfulness #strength #community #happiness #success #mentalhealth #leadership #wellness #inspiration #training #wisdom #challenge #workout #growth #meditation #gratitude #trustalexanderlaw https://t.co/NLl6bkub30",1865,TRUE,TRUE,1.1585E+18
242,1,1,"The mind is the limit. As long as the mind can envision the fact that you can do something, you can do it, as long as you really believe 100 percent.","The mind is the limit. As long as the mind can envision the fact that you can do something, you can do it, as long as you really believe 100 percent.
.
#inspiration #motivation https://t.co/TjsIU8zdC4",2054,TRUE,TRUE,1.15842E+18
274,1,1,"You obsess over it enough, so don't stop until you get it.","You obsess over it enough, so don't stop until you get it. #motivation #inspiration https://t.co/601DqxTwSg",2372,TRUE,TRUE,1.15849E+18
293,1,1,Get ready! Something wonderful is coming into your life. Believe and receive.,Get ready! Something wonderful is coming into your life. Believe and receive. #inspiration #MondayMotivation #motivation #advance,162598,TRUE,TRUE,1.15831E+18
306,1,1,The greater your storm the brighter your rainbow.,"The greater your #storm the #brighter your #rainbow.

#positivethoughts #motivation #Inspiration #bestrong https://t.co/KbbAlWtlg8",1519,TRUE,TRUE,1.15848E+18
326,1,1,"Whatever is true, whatever is noble, right, pure, lovely, admirable, excellent or praiseworthy - think of such things. -Phil 4:8","Whatever is true, whatever is noble, right, pure, lovely, admirable, excellent or praiseworthy - think of such things. -Phil 4:8 #Truth #Past #Present #Future #Motivation #Inspiration #Encouragement #QuoteOfTheDay #Quote #Wisdom #success #goodness #simple #openminds. #succes…",521,TRUE,TRUE,1.15848E+18
331,1,1,"Dream your own dreams, achieve your own goals. Your journey is your own and unique!","Dream your own dreams, achieve your own goals. Your journey is your own and unique! #fitnessquotes #inspiration #motivation",136991,TRUE,TRUE,1.15848E+18
352,1,1,Don't be intimidated by what you don't know. - Sara Blakely.,"Don't be intimidated by what you don't know - Sara Blakely
.
#inspiration  #motivation  #success  #manifestation  #LawOfAttraction  #grace  #gratitude  #love  #mercy  #compassion  #forgiveness  #lovingkindness https://t.co/geKtXZmqor",2233,TRUE,TRUE,1.15848E+18
390,1,1,"""Any road can take you nowhere. Set your goals.""","""Any road can take you nowhere. Set your goals.""

#soulitaire #ToRona
#author #motivation #inspiration #motivated #inspire #inspirationalquotes #motivationalquotes #authorscommunity #writerscommunity #writingcommunity #quoteoftheday #wisdomoftheday #choices #goals #focus https://t.co/WXsgePs4zr",535,TRUE,TRUE,1.15847E+18
406,1,1,"Become self-reliant, tap into your inner resources and live a fulfilling , self-actualized life!","Become self-reliant, tap into your inner resources and live a fulfilling , self-actualized life!

#personaldevelopment #motivation #personalgrowth #success #mindset #inspiration #leadership #goals #lifecoach #entrepreneur #love #coaching #business #growth #mindfulness #happiness https://t.co/NBY5jdSvm3",6986,TRUE,TRUE,1.15847E+18
419,1,0,Quote Experience is not what happens to you; it's what you do with what happens to you. - Aldous Huxley.,#quote Experience is not what happens to you; it's what you do with what happens to you - Aldous Huxley. #inspiration #motivation,19961,TRUE,TRUE,1.15847E+18
